wid,time,text,uid,like_count,username,following,followed,gender
4.34E+15,Fri Feb 08 16:49:48 +0800 2019,先马着,5129113954,1,陪宝宝细水长流,564,185,f
4.34E+15,Fri Feb 08 16:49:50 +0800 2019,"靠太近会被潮汐力撕碎，太远又无法借助木星引力，可见是怎样一种绝望了<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>",2859174572,1,点绛石,184,446,f
4.34E+15,Fri Feb 08 16:49:53 +0800 2019,少一些小鲜肉，多一些特效,3069491603,1,喻文V,252,548,m
4.34E+15,Fri Feb 08 16:50:04 +0800 2019,觉得可以入围奥斯卡了，初二看了外星人，后悔了。欠一张电影票。,2932812721,1,sina周志豪,82,152,m
4.34E+15,Fri Feb 08 16:50:04 +0800 2019,"刚看完流浪地球回来，很棒，很感动<span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-1b4b02f8b1.png"" style=""width:1em; height:1em;"" /></span>",1889800064,1,飘落空域,949,152,f
4.34E+15,Fri Feb 08 16:50:18 +0800 2019,"我觉得杭州地下城还能再抢救一下<span class=""url-icon""><img alt=[笑cry] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" style=""width:1em; height:1em;"" /></span>",2289329251,565,星际琑无痕,591,48,m
4.34E+15,Fri Feb 08 16:50:30 +0800 2019,小破球冲鸭,1552589635,1,我爱-小虎牙,409,1213,m
4.34E+15,Fri Feb 08 16:50:46 +0800 2019,没有想象的那么好吧，中国科幻元年有点夸张了,5668012973,7,严同学家的猫,244,32,m
4.34E+15,Fri Feb 08 16:50:50 +0800 2019,真的刚看完，流浪地球吹爆，一直都感觉眼角湿漉漉的，音乐，人物角色都很好。我也不是专业的，就不瞎掰扯了，反正好就对了,5849254593,1,冰阔落Summer,52,10,m
4.34E+15,Fri Feb 08 16:51:29 +0800 2019,"为了吴京投资去看的<span class=""url-icon""><img alt=[笑cry] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-d320324f00.png"" style=""width:1em; height:1em;"" /></span>特效制作确实牛逼 只不过前一个小时看的有点无聊<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span>后面还不错",1680560370,1,改名转运OK吧,125,336,f
4.34E+15,Fri Feb 08 16:51:40 +0800 2019,中国电影越来越棒啦,5478472863,1,心动时间_921,156,311,f
4.34E+15,Fri Feb 08 16:51:43 +0800 2019,"大刘我山西人，威武<span class=""url-icon""><img alt=[鼓掌] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-a35dfd4d70.png"" style=""width:1em; height:1em;"" /></span>",3874156656,1,劉大爷年轻的时候,74,584,m
